"accuracy","time","generation","sub_gens","number_parents","evolution_method","mutation","crossover","f_default","cr_default","f_jde","cr_jde","archive_size","f_cr_adapt","perc_of_best","degl_scalar_weight","degl_neighborhoodclamp_min","clamp_max","random_min","random_max","restart_count","restart_delta","hidden_layers","dataset","output"
0.7723,175.736,8000.0,50.0,50.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_1.0.json"
0.813,174.69,8000.0,50.0,50.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.5.json"
0.8157,175.927,8000.0,50.0,50.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.25.json"
0.8411,173.47,8000.0,50.0,50.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_1.0.json"
0.8424,174.835,8000.0,50.0,50.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.5.json"
0.8521,173.16,8000.0,50.0,50.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.25.json"
0.7375,177.43,8000.0,50.0,50.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_1.0.json"
0.7835,175.325,8000.0,50.0,50.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.5.json"
0.7974,177.729,8000.0,50.0,50.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.25.json"
0.7689,192.607,8000.0,50.0,50.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_1.0.json"
0.8155,179.784,8000.0,50.0,50.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.5.json"
0.8266,179.47,8000.0,50.0,50.0,"","best/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.25.json"
0.7714,285.329,8000.0,50.0,100.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_1.0.json"
0.8135,266.324,8000.0,50.0,100.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.5.json"
0.8196,278.089,8000.0,50.0,100.0,"","rand/1","bin",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_0.25.json"
0.8449,268.377,8000.0,50.0,100.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_1.0.json"
0.8562,261.1,8000.0,50.0,100.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.5,-0.5,0.5,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.5.json"
0.8661,260.511,8000.0,50.0,100.0,"","rand/1","interm",0.1,0.5,0.1,0.1,"","","","","",0.25,-0.25,0.25,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_interm_0.25.json"
0.7314,263.583,8000.0,50.0,100.0,"","best/1","bin",0.1,0.5,0.1,0.1,"","","","","",1.0,-1.0,1.0,6.0,0.001,"","JULY_MNIST_0_540x100_1s.gz","1_bin_1.0.json"
